id,name,committeeId
HSPW05,Aviation,HSPW
HSPW07,Coast Guard and Maritime Transportation,HSPW
HSPW13,"Economic Development, Public Buildings, and Emergency Management",HSPW
HSPW12,Highways and Transit,HSPW
HSPW14,"Railroads, Pipelines, and Hazardous Materials",HSPW
HSPW02,Water Resources and Environment,HSPW
HSVR09,Disability Assistance and Memorial Affairs,HSVR
HSVR10,Economic Opportunity,HSVR
HSVR03,Health,HSVR
HSVR08,Oversight and Investigations,HSVR
HSVR11,Technology Modernization,HSVR
HSWM02,Health,HSWM
